Date,Community,State,Dead,Injured,Total,Description
"July 17, 2019",Lubbock,Texas,1,3,4,Five men in a vehicle were targeted by a shooter who killed one and injured three others.[234]
"July 16, 2019",San Antonio (3),Texas,0,4,4,"A man opened fire on his co-workers at a moving company, injuring four, after a disagreement escalated. The suspect was later arrested.[235]"
"July 15, 2019",New Orleans (3),Louisiana,1,3,4,One person was killed and three were wounded in an apartment complex.[236]
"July 15, 2019",Atlanta (5),Georgia,0,4,4,Four people were wounded in a shooting after a potential drug deal turned deadly.[237]
"July 15, 2019",Baltimore (10),Maryland,2[n 1],2,4,"A man attempted to use a gun to demand methadone, then killed one and wounded two before being killed by police in a shootout.[238]"
"July 13, 2019",Philadelphia (5),Pennsylvania,0,7,7,Seven people were wounded in a shooting during a neighborhood basketball game.[239]
"July 13, 2019",Chicago (16),Illinois,1,4,5,One person was killed and four were wounded in a drive-by shooting in Chicago's South Side.[240]
"July 11, 2019",Houston (5),Texas,0,4,4,"Four suspects got into a gunfight, wounding four teenagers in a common area at an apartment complex.[241]"
"July 8, 2019",Manson,North Carolina,2,2,4,"Two people were killed and two children—16 and 10-years-old, were wounded after a domestic dispute escalated.[242]"
"July 8, 2019",Washington (4),District of Columbia,0,4,4,Four perpetrators wounded four men in a shooting outside of a 7-Eleven store.[243]
"July 7, 2019",Flint,Michigan,2,4,6,"Six people were shot, two fatally, while in a car at a gas station. Police are looking for two suspects.[244]"
"July 7, 2019",Wichita (2),Kansas,0,4,4,Four people were wounded in a shooting after a potential argument escalated.[245]
"July 7, 2019",Chicago (15),Illinois,0,4,4,Four people were wounded in an early morning shooting in Chicago's Englewood neighborhood.[246]
"July 7, 2019",Albuquerque (1),New Mexico,0,4,4,Four people were discovered wounded in a parking lot in the downtown area.[247]
"July 6, 2019",San Jose (2),California,0,4,4,"Four people were discovered wounded by police, who responded to a shots fired call; the victims had driven away from the initial scene.[248]"
"July 6, 2019",St. Clair Shores,Michigan,2[n 1],2,4,"After a dispute over fireworks, a man shot into a crowd and injured a 12-year-old child and a woman, then barricaded himself in his home. Police discovered him and a woman deceased in the home.[249]"
"July 6, 2019",Charlotte (3),North Carolina,0,4,4,Four people were shot in a McDonald's parking lot after a dispute involving a rideshare vehicle.[250]
"July 5, 2019",New York City (2),New York,0,4,4,A gunman opened fire — injuring four people in the East New York neighborhood.[251]
"July 5, 2019",Chicago (14),Illinois,0,5,5,Five people were wounded in a shooting in Chicago's Woodlawn community.[252]
"July 5, 2019",Reno,Nevada,1,3,4,One person died and three were wounded in a shooting.[253]
"July 5, 2019",Gravette,Arkansas,4[n 1],0,4,"Four people were found deceased at a home in an apparent murder–suicide. The deaths consisted of two young males, and one middle aged female, not including the perpetrator who killed himself afterwards.[254]"
"July 5, 2019",Boston (2),Massachusetts,0,6,6,Six people were wounded in Boston's Roxbury neighborhood.[255]
"July 4, 2019",Chicago (13),Illinois,1,3,4,"One man was killed and three were wounded, after a suspect opened fire from a vehicle.[256]"
"July 4, 2019",Los Angeles (3),California,0,4,4,"Four people, including a 15-year-old girl were wounded, after two perpetrators opened fire in the Historic South-Central neighborhood.[257][258]"
"July 4, 2019",Rockford,Illinois,0,4,4,Four people were wounded after an argument escalated.[259]
"July 4, 2019",Fresno (1),California,1,3,4,One person was killed and three were injured after gunfire erupted at an Independence Day celebration.[260]
"July 3, 2019",Katy,Texas,2[n 1],3,5,The perpetrator shot and killed his sister and three others at a housewarming party. He later died at a hospital.[261]
"July 2, 2019",Washington Park,Illinois,0,4[n 1],4,"A 16-year-old, 12-year-old and an adult were injured when an argument over fireworks escalated. The perpetrator was shot by a by-stander.[262]"
"July 2, 2019",Wellston,Missouri,0,4,4,Four people were injured in a drive-by shooting just before midnight near a local food store.[263]
"July 1, 2019",Baltimore (9),Maryland,0,4,4,"Four women were injured after a suspect opened fire on them, two were discovered by police, the others privately entered the hospital.[264]"
"June 30, 2019",Oakland (3),California,0,4,4,A 12-year-old boy and two adults were injured in a shooting outside of an apartment complex.[265]
"June 30, 2019",Yucaipa,California,0,5,5,Five people were wounded after a fight escalated in a mobile home park after a BBQ.[266]
"June 30, 2019",Dallas (3),Texas,2,2,4,Two teenagers were killed and two were wounded in a drive-by shooting near a playground.[267]
"June 30, 2019",Bay Shore,New York,0,6,6,Six people were shot at a house party.[268]
"June 29, 2019",Baton Rouge (2),Louisiana,0,7,7,Seven people were injured in a shooting outside of a night club after a fight escalated.[269]
"June 29, 2019",Hartford (1),Connecticut,0,4,4,"Police discovered two people wounded, while an additional two were self-transported to area hospitals.[270]"
"June 29, 2019",Chicago (12),Illinois,0,5,5,Five people were wounded after gunfire broke out at a gathering in the Near West Side neighborhood.[271]
"June 28, 2019",Atlanta (4),Georgia,0,7,7,Seven people were wounded during a drive-by shooting involving two vehicles.[272]
"June 28, 2019",Paterson (2),New Jersey,0,4,4,Four people were wounded by gunfire that erupted on a street.[273]
"June 28, 2019",Hamden,Connecticut,0,5,5,"Five people were wounded in a shooting, after police break up a house party.[274]"
"June 28, 2019",Saint Paul,Minnesota,0,5,5,Five people were wounded in a shooting.[275]
"June 27, 2019",Atlanta (3),Georgia,0,7,7,"Seven people were wounded, two critically, in a drive-by shooting in the Old Fourth Ward neighborhood.[276]"
"June 26, 2019",Akron (1),Ohio,1,3,4,"One man was killed and three others, including a boy, were wounded in a home invasion.[277]"
"June 23, 2019",San Jose (1),California,5[n 1],0,5,A four-hour standoff ends after a man kills four people then himself.[278]
"June 23, 2019",Abbeville,South Carolina,3,1,4,Two people were killed and two were wounded in a shooting at an apartment complex. One of the victims later died at the hospital from their injuries.[279]
"June 23, 2019",Columbus (2),Ohio,0,5,5,Five people were wounded in a drive-by shooting outside of a local motorcycle club.[280]
"June 23, 2019",San Diego,California,1,3,4,One person was killed and three others were injured after a drive-by shooting at a party.[281]
"June 23, 2019",South Bend (1),Indiana,1,10,11,One person was killed and ten were injured after the perpetrator opened fire on a patrons at a local bar.[282]
"June 22, 2019",Philadelphia (4),Pennsylvania,0,4,4,Four men were wounded by gunfire in an overnight shooting.[283]
"June 22, 2019",Hampton,Virginia,0,4,4,Two adults and two children were injured in a shooting at Buckroe Beach.[284]
"June 22, 2019",Baltimore (8),Maryland,1,4,5,"A gunman opened fire on a crowd, killing a 19-year-old man and wounding four others.[285]"
"June 21, 2019",Saginaw,Michigan,1,3,4,"Four people were shot, one fatally, at a house on the city's west side.[286]"
"June 21, 2019",Richmond (1),California,0,5,5,Five people were wounded in a drive-by shooting.[287]
"June 21, 2019",Chicago (11),Illinois,0,4,4,"Four people, including a pregnant woman, were wounded in a shooting outside of the Parkway Garden Homes apartment complex.[288]"
"June 20, 2019",Allentown,Pennsylvania,0,10,10,Ten people were injured from gunfire outside of a nightclub.[289]
"June 18, 2019",Newark (2),New Jersey,1,6,7,One man was killed and six others were injured after gunfire broke out in two separate locations in the downtown area.[290]
"June 17, 2019",San Antonio (2),Texas,0,4,4,"Four people were injured from gunfire, after getting into an altercation with another motorist.[291]"
"June 17, 2019",Memphis (2),Tennessee,0,5,5,Five people were wounded in the parking lot of an apartment complex.[292]
"June 16, 2019",Philadelphia (3),Pennsylvania,1,7,8,One person was killed and seven were injured at a graduation party. All of the victims are between 15 and 17 years of age.[293]
"June 16, 2019",Louisville (2),Kentucky,1,6,7,Five men and two women were discovered shot near a liquor store by police. One of the men later died at the hospital.[294]
"June 16, 2019",Des Moines,Iowa,0,6,6,Six people were shot in a drive-by shooting while standing in the street after a party.[295]
"June 15, 2019",Shreveport,Louisiana,0,4,4,Four people were wounded in a drive-by shooting outside of a nightclub.[296]
"June 15, 2019",West Des Moines,Iowa,4,0,4,"Four relatives, two children and two adults, were found dead from gunshot wounds in a house.[297]"
"June 12, 2019",Charlotte (2),North Carolina,1,3,4,An adult male was killed at a party in a rented Airbnb; a teenager and two other adults were injured.[298]
"June 11, 2019",Savannah,Georgia,2,2,4,Police responded to a scene and discovered two men deceased and two others injured.[299]
"June 11, 2019",Aurora,Colorado,0,4,4,Four people were wounded in an overnight shooting; the victims were self-transported to the hospital for treatment.[300]
"June 9, 2019",Henning,Tennessee,1,3,4,One was killed and three others were injured in a shooting at a nightclub.[301]
"June 9, 2019",Buffalo (1),New York,0,4,4,Four people were injured in a shooting after a dispute.[302]
"June 9, 2019",Cleveland (3),Ohio,1,3,4,"One person was killed and three wounded, after the perpetrator opened fire on a crowd gathered in Kerruish Park.[303]"
"June 8, 2019",White Swan,Washington,5,0,5,Five people were killed after the perpetrator opened fire on the Yakama Indian Reservation.[304][305]
"June 8, 2019",Chicago (10),Illinois,0,4,4,Four people were wounded in the Humbdolt neighborhood after an altercation with the suspect.[306]
"June 7, 2019",Austin,Texas,0,5,5,"Five people were taken to the hospital after the suspect fired shots at the ground, indirectly wounding them.[307]"
"June 6, 2019",Chicago (9),Illinois,1,3,4,One man was killed and three others wounded when a secondary vehicle pulled up next to vehicle and opened fire on Lake Shore Drive.[308]
"June 5, 2019",Santa Rosa,California,0,4,4,"A teenager opened fire at a soccer park, wounding an 11-year-old boy and three others.[309]"
"June 1, 2019",Portsmouth,Virginia,1,3,4,One person was killed and three were critically injured in an overnight shooting.[310]
"June 1, 2019",Chicago (8),Illinois,0,4,4,An adult male and three teenagers were wounded in a shooting in the Austin community of Chicago.[311]
"June 1, 2019",Chicago (7),Illinois,0,4,4,Four men were wounded in two separate locations near Northwestern University's Gold Coast campus.[312]
"June 1, 2019",Atlanta (2),Georgia,0,5,5,Police discovered three individuals wounded after responding to a shooting; an additional two were transported via personal vehicles to the hospital.[313]
"June 1, 2019",Macon,Georgia,0,4,4,Three men and a woman were injured after a suspect opened fire at a block party.[314]
"June 1, 2019",Allendale,South Carolina,0,5,5,Five men were wounded in a shooting at a car wash.[315]
"May 31, 2019",Virginia Beach,Virginia,13[n 1],4,17,2019 Virginia Beach shooting: A gunman killed 12 people and injured four others at a city public works building. The gunman died at the scene after being shot by police.[316][317]
"May 30, 2019",Robbins,Illinois,0,5,5,Five people were wounded after a vehicle pulled up to a large gathering and opened fire.[318]
"May 29, 2019",Cleveland,Texas,2[n 1],3,5,"A man shot three employees at a local plumbing company, killing one before exchanging gunfire with a sheriff's deputy, also injuring him before committing suicide.[319]"
"May 27, 2019",Trenton (2),New Jersey,1,5,6,"Police responded to a shooting on Walnut Avenue, and found one teenager deceased and five adults injured.[320]"
"May 27, 2019",Washington (3),District of Columbia,0,5,5,A boy and four others were wounded in a shooting in the Barry Farm neighborhood.[321]
"May 26, 2019",Stockton (2),California,1,3,4,Police discovered one person deceased and three injured after responding to reports of a shooting.[322]
"May 26, 2019",La Crosse,Virginia,0,5,5,"Multiple shooters reportedly opened fire at a block party, injuring five people.[323]"
"May 26, 2019",Washington (2),District of Columbia,1,3,4,One teenager was killed and two women and a child were injured after being shot in a parking lot.[324]
"May 26, 2019",Chicago (6),Illinois,2,3,5,"Several people were gathered outside of a party when a man opened fire, killing two and wounding three.[325]"
"May 25, 2019",Oklahoma City (1),Oklahoma,0,5,5,"Five people were wounded in a parking lot, after an SUV pulled up and its occupants began shooting.[326]"
"May 25, 2019",Baltimore (7),Maryland,0,4,4,"Four people, including a teenager were found shot in McElderry Park.[327]"
"May 25, 2019",Chesapeake,Virginia,1,9,10,"Police responded to a noise complaint at a large party, and discovered ten people with gunshot wounds. One later died from their injuries.[328]"
"May 25, 2019",Trenton (1),New Jersey,0,10,10,Ten people were wounded in a shooting at a bar.[329]
"May 20, 2019",Alexandria (1),Louisiana,1,4,5,One teenager was killed and five were injured in a shooting.[330]
"May 20, 2019",Columbus (1),Ohio,0,4,4,Four people were injured in a shooting in the Hilltop neighborhood.[331]
"May 20, 2019",Tulsa,Oklahoma,2,2,4,"A man opened fire on a group of people, killing two and wounding two others at an apartment complex.[332]"
"May 19, 2019",Portland,Oregon,0,5,5,Five people were wounded after gunfire erupted at a warehouse party.[333]
"May 18, 2019",Cascilla,Mississippi,1,5,6,One person was killed and five were injured in a shooting during a family dispute.[334]
"May 18, 2019",Cedar Rapids,Iowa,2,2,4,Two people were killed and two were wounded after an assailant shot into a vehicle outside of a tobacco store.[335]
"May 18, 2019",Atmore,Alabama,1,8,9,One person was killed and eight were wounded at a high school graduation party when a gunman opened fire during a fight.[336]
"May 18, 2019",Long Beach (1),California,1,5,6,A 57-year-old woman was killed and five others were wounded during a vigil at a local bar.[337]
"May 18, 2019",Winston-Salem (2),North Carolina,1,5,6,One man was killed and five were wounded at an overnight block party.[338]
"May 18, 2019",Muncie,Indiana,0,7,7,Seven people were wounded at a house party near the campus of Ball State University.[339]
"May 17, 2019",Sacramento,California,1,4,5,"A woman and three others, including a 4-year-old boy were wounded in what police presume was a targeted shooting. One of the victims later died from their injuries.[340]"
"May 16, 2019",Cleveland (2),Ohio,0,4,4,"Four people, including two teenagers were wounded in a shooting.[341]"
"May 15, 2019",St. Rose,Louisiana,0,4[n 2],4,"Four people, including two children were wounded during an altercation between two men in a strip mall parking lot.[342]"
"May 13, 2019",St. Louis (3),Missouri,4,1,5,"Three people were killed and two were critically injured in a shooting at a home. One victim died of their injuries days later, taking the death toll to four.[343]"
"May 13, 2019",New Orleans (2),Louisiana,0,4,4,Three men and a teenager were wounded in a drive-by shooting in the Central City neighborhood.[344]
"May 11, 2019",Paulsboro,New Jersey,0,4,4,"A person began shooting at an event that was originally reported to be a rap concert and subsequently described as a birthday party. Four people were injured by the gunfire, and a fifth person suffered a head injury after falling.[345]"
"May 11, 2019",Chestnuthill Township,Pennsylvania,0,4,4,Four people were wounded in a shooting inside of a residence. The perpetrator was later arrested.[346]
"May 10, 2019",St. Louis (2),Missouri,0,6,6,"A shooting was reported near Farragut Elementary School, where two men were discovered wounded, and an additional four were identified at the hospital.[347]"
"May 10, 2019",Philadelphia (2),Pennsylvania,0,5,5,A large group of adult men were ambushed by three teenagers who came out of a breezeway and shot and injured five of them.[348]
"May 8, 2019",Indianapolis (4),Indiana,0,4,4,Four people were wounded in a shooting near the northwest side of Indianapolis.[349]
"May 7, 2019",Highlands Ranch,Colorado,1,8,9,"2019 STEM School Highlands Ranch shooting: Authorities responded to the STEM School Highlands Ranch, at about 1:50 pm on a report of shots fired. One student was fatally shot and eight others were injured; two suspects were taken into custody by police.[350][351]"
"May 5, 2019",North Bergen,New Jersey,1,4,5,"Just before 4 am, officers discovered one person deceased and four people wounded, after a fight potentially escalated.[352]"
"May 5, 2019",Oceano,California,0,6,6,Officers responded to a call and discovered six individuals wounded by gunfire; the victims were transported to local hospitals for treatment.[353]
"May 4, 2019",St. Louis (1),Missouri,1,4,5,Five people were shot inside of a vehicle; the incident resulted in one death and four injuries.[354]
"May 4, 2019",Indianapolis (3),Indiana,0,4,4,Three teens and one man were injured after a fight involving between 20 and 30 individuals.[355]
"May 4, 2019",Wilmington (2),Delaware,0,4,4,Four people were wounded in a shooting at West 27th and Tatnall Streets.[356]
"May 3, 2019",Baltimore (6),Maryland,0,4,4,Four people were injured and discovered after a Shot Spotter gunfire alert notified police to the location.[357]
"May 3, 2019",Baltimore (5),Maryland,0,5,5,"Emergency responders discovered a female and two young children injured, and two men were later identified as being wounded in the same incident.[358]"
"May 3, 2019",Dallas (1),Texas,1,3,4,Four men were discovered shot at Cherrywood Park after a drive-by shooting; one of the victims died from their injuries.[359]
"May 1, 2019",Boston (1),Massachusetts,1,3,4,One person was killed and three were wounded while sitting in a parked car in Boston's Dorchester neighborhood.[360]
"April 30, 2019",Charlotte (1),North Carolina,2,4,6,"2019 University of North Carolina at Charlotte shooting: Six people were shot, two fatally, on the last day of classes at the University of North Carolina at Charlotte. The student gunman was taken into custody after he was tackled by one of the students in the classroom. He had several more loaded magazines in a backpack.[361]"
"April 28, 2019",West Chester Township,Ohio,4,0,4,"Four family members, three women and one man, were found shot to death in an apartment.[362] The shooter was given the death penalty in 2024, 2 years after a mistrial.[363]"
"April 28, 2019",Nashville,Tennessee,0,7,7,Two men got into an altercation at a party and exchanged gunfire; seven people were wounded in the crossfire.[364]
"April 28, 2019",Birmingham (3),Alabama,0,4,4,"A suspect in a vehicle opened fire on patrons outside of a nightclub, injuring four.[365]"
"April 28, 2019",Baltimore (4),Maryland,1,7,8,One person was killed and seven were wounded when a gunman opened fire on two cookouts at an intersection.[366]
"April 27, 2019",Jackson,Mississippi,1,3,4,One person was killed and three were injured in a shooting in south Jackson.[367]
"April 27, 2019",Jackson,Michigan,0,4,4,Four people were wounded in an overnight shooting.[368]
"April 27, 2019",Poway,California,1,3,4,Poway synagogue shooting: One person was killed and at least three were wounded by a shooter at the Chabad of Poway synagogue.[369]
"April 26, 2019",Hugo,Oklahoma,0,4[n 1],4,"Investigators attempted to make contact with the suspect in relation to another crime, he then began to open fire, injuring three children and himself.[370]"
"April 21, 2019",Philadelphia (1),Pennsylvania,0,4,4,Four people were wounded in the Grays Ferry Section of the city.[371]
"April 21, 2019",Los Angeles (2),California,0,4,4,Four seniors were wounded by gunfire after a suspect opened fire in the vehicle behind them.[372]
"April 20, 2019",Memphis (1),Tennessee,0,7,7,Seven people were wounded in a shooting that police believe occurred after a large fight.[373]
"April 20, 2019",Corpus Christi,Texas,0,4,4,A disturbance in a neighborhood escalated into a shooting; four men were wounded.[374]
"April 19, 2019",Wichita (1),Kansas,0,4,4,"Two suspects fired multiple shots at people attending a party, injuring four.[375]"
"April 18, 2019",Louisville (1),Kentucky,0,4,4,Four people in a vehicle were wounded when they were shot at by at least one person in another car.[376]
"April 16, 2019",Germantown,Maryland,1,3,4,A drive-by shooting killed an 18-year-old male and wounded three other men in a cul-de-sac.[377]
"April 14, 2019",Stockton (1),California,0,4,4,"A man opened fire inside of a bar following a disturbance, wounding four patrons.[378]"
"April 14, 2019",Vallejo,California,1,3,4,One man was killed and three were injured in an early morning shooting.[379]
"April 14, 2019",Miami (2),Florida,2,2,4,Two women were killed and another man and woman were wounded in a drive-by shooting outside of Miami's Liberty City neighborhood.[380]
"April 12, 2019",Carbondale,Illinois,0,4,4,Four people were injured in a shooting outside of a restaurant and bar.[381]
"April 11, 2019",Phoenix (4),Arizona,4[n 5],2,5,"A man killed his wife, two of his daughters, and another man, and injured two people who came to try to help one of the victims. All of the victims were shot, with the exception of one of his daughters who was killed by blunt force trauma.[382]"
"April 11, 2019",Los Angeles (1),California,1,4,5,One person was killed and four were wounded when suspects fired at them from a car in the Watts neighborhood of Los Angeles.[383]
"April 11, 2019",Baltimore (3),Maryland,0,4,4,Four men were wounded in a shooting near Druid Hill Park.[384]
"April 9, 2019",Kansas City (1),Missouri,0,4,4,Police found four people with gunshot wounds in front of a residence.[385]
"April 7, 2019",Shreveport (2),Louisiana,0,4,4,Four people were wounded in a shooting at a mobile home park.[386]
"April 7, 2019",Indianapolis (2),Indiana,2,3,5,Two people were killed and three were wounded in a shooting at a motorcycle club hangout.[387]
"April 7, 2019",Winston-Salem (1),North Carolina,0,6,6,Six people were wounded in a shooting outside of a local bar.[388]
"April 7, 2019",Wilmington (1),Delaware,0,6,6,Six young men were wounded in a shooting in the city's East Side district.[389]
"April 6, 2019",Chicago (5),Illinois,0,6,6,At least six people were injured in a shooting at a baby shower.[390]
"April 6, 2019",Tallahassee (2),Florida,0,4,4,Four Florida A&M University students were injured in a shooting following an argument at a house party.[391]
"April 4, 2019",Panama City,Florida,1,3,4,One person was killed and three were found with gunshot injuries in Panama City.[392]
"April 4, 2019",Stockbridge,Georgia,3,2,5,Two officers responding to a suspected hostage situation were wounded and three individuals were later found deceased in a murder–suicide.[393]
"April 2, 2019",Hermanville,Mississippi,0,4,4,A man shot four people in a drive-by shooting outside of a convenience store.[394]
"April 2, 2019",Covington,Kentucky,0,5,5,Five people were wounded in a drive-by shooting at an intersection.[395]
"March 31, 2019",Chicago (4),Illinois,1,4,5,One person was killed and four people were wounded in a shooting in East Garfield Park.[396]
"March 31, 2019",Atlanta (1),Georgia,1,4,5,One person was killed and four were wounded during a house party.[397]
"March 31, 2019",North Charleston,South Carolina,0,7,7,Seven people were wounded in a shooting at an overnight house party.[398]
"March 28, 2019",Baltimore (2),Maryland,0,4,4,Four people were wounded in a shooting near a playground.[399]
"March 25, 2019",North Las Vegas,Nevada,0,5,5,An after-school fight led to a shooting in a neighborhood; five teenagers were wounded.[400]
"March 24, 2019",San Francisco (1),California,1,5,6,A shooting occurred near the Fillmore Heritage Center around 8:40 pm local time; one person was killed and five others were injured.[401]
"March 24, 2019",Phoenix (3),Arizona,0,7,7,"During a warehouse party, a fight broke out and escalated into a shooting; seven people were wounded.[402]"
"March 19, 2019",Phoenix (2),Arizona,2,4,6,An argument at a house party ended in a shooting when the perpetrator returned to the party and killed two and wounded four before fleeing.[403]
"March 17, 2019",Augusta,Georgia,0,4,4,"Four people were wounded after an argument, although the shooter claims that it was in self-defense to being randomly attacked.[404]"
"March 17, 2019",Las Vegas,Nevada,0,4,4,Four people were wounded at the El Cortez Hotel and Casino in an early morning shooting. The suspect was later arrested.[405]
"March 17, 2019",Rochelle,Georgia,1,3,4,"In the early morning, two groups were involved in a dispute, which ended with one person killed and three people wounded.[406]"
"March 16, 2019",Camden,New Jersey,1,3,4,"One man was killed and three others were wounded following a shooting at a ""residential speakeasy"".[407]"
"March 15, 2019",Mobile (1),Alabama,2,3,5,Two men were killed and three others were wounded in an overnight shooting behind a home. The suspect was arrested the next day.[408]
"March 14, 2019",Missoula,Montana,1,3,4,"One person was fatally shot and three others were wounded, including a Montana Highway Patrol trooper following a road rage incident.[409]"
"March 13, 2019",Harvey,Illinois,1,3,4,One person was killed and three were wounded after gunfire erupted in a nightclub.[410]
"March 11, 2019",Paterson (1),New Jersey,0,4,4,Four men were wounded in a shooting inside of a local liquor store.[411]
"March 10, 2019",Denver (1),Colorado,1,4,5,"A conflict between two individuals escalated into a shooting; one man was killed, and four others were injured.[412]"
"March 10, 2019",Shreveport (1),Louisiana,0,4,4,Three children and one adult were wounded in a drive-by shooting.[413]
"March 3, 2019",Oakland (2),California,0,4,4,Four people were injured in a shooting at a sports bar following a fight.[414]
"March 3, 2019",Chicago (3),Illinois,0,6,6,Six people were injured in a shooting at a bar following a fight.[415]
"March 2, 2019",Pine Bluff,Arkansas,1,4,5,One person was killed and four other were wounded at a party when shots were fired into a home.[416]
"February 28, 2019",Joliet,Illinois,4[n 1],0,4,Two adults and their 6 and 1-year-old children were killed in an apparent murder suicide.[417]
"February 28, 2019",Oakland (1),California,1,4,5,One person was killed and four others were wounded in a shooting near a gas station.[418]
"February 22, 2019",Birmingham (2),Alabama,2,2,4,Two people were killed and two were injured in a shooting at a party in a home.[419]
"February 21, 2019",Elizabeth,Kentucky,2,2,4,Two people were killed and two others were found wounded in two separate shootings believed to be perpetrated by the same man.[420]
"February 21, 2019",Baltimore (1),Maryland,1,4,5,"Officers on patrol responded to gunshots, and upon investigation discovered a deceased male and four wounded victims.[421]"
"February 21, 2019",Houston (4),Texas,2,2,4,A gunman perched on the roof of a home killed two and wounded two after an argument led to the incident.[422]
"February 20, 2019",Covington,Tennessee,0,4,4,Three adults and a teenager were injured inside a home in a presumed targeted shooting.[423]
"February 18, 2019",Solon Township,Michigan,4[n 1],0,4,"A 28-year-old woman killed her three children, ages 8, 6 and 2, before killing herself.[424][425][426]"
"February 17, 2019",Evansville (1),Indiana,0,5,5,Five people were wounded after shots were fired outside of a bar. Two suspects were taken into custody by police.[427]
"February 17, 2019",Henderson,Texas,2,2,4,"Two people were wounded and two were killed in a shooting at an apartment complex. The suspect was later arrested in Bienville Parish, Louisiana.[428]"
"February 17, 2019",New Orleans (1),Louisiana,1[n 1],5,6,"After police attempted to arrest a suspect, a gunfight broke out, and led to one person being killed and five being wounded.[429]"
"February 16, 2019",Clinton,Mississippi,4,0,5,"Police responded to a domestic dispute at a residence; upon arrival, the suspect fired shots at officers leading to a 12-hour hostage standoff. Four people were killed, and the suspect was taken into custody and later died.[430]"
"February 15, 2019",Aurora (1),Illinois,6[n 1],6,12,"Aurora, Illinois shooting: A man opened fire in his workplace, killing five employees, and injuring five police officers and a civilian before being killed by police.[431]"
"February 14, 2019",Jacksonville (3),Florida,2[n 2],2,4,"After a fight broke out near a basketball court at a park, multiple people started shooting at each other. Two people were killed, and two were wounded.[432][433]"
"February 11, 2019",Livingston,Texas,5[n 1],0,5,"A family member heard sounds of gunfire, and upon investigation, found four adults and one toddler deceased.[434][435]"
"February 9, 2019",Petersburg,Virginia,0,4,4,Four people were injured in a shooting outside of an apartment complex.[436]
"February 6, 2019",New York City (1),New York,1,3,4,A man was killed and three others were injured after a shooting in the lobby of an apartment building around 10:30 pm ET.[437]
"February 6, 2019",Cleveland (1),Ohio,1,3,4,One man was killed and three others were injured after a shooting broke out in Cleveland's Clark–Fulton neighborhood.[438]
"February 5, 2019",San Antonio (1),Texas,2,2,4,"A man and woman were killed and two others injured after the shooter kicked open an apartment door and shot inside, before fleeing.[439]"
"February 4, 2019",Washington (1),District of Columbia,0,5,5,Four men and an elementary-school-age girl were injured in a shooting at a bus stop.[440]
"February 4, 2019",Baton Rouge (1),Louisiana,0,4,4,Four people were wounded in an early morning shooting.[441]
"February 3, 2019",Chicago (2),Illinois,2,5,7,"Around 2 am local time, two people were killed and five people were wounded in a drive-by shooting after a fight outside of a club.[442]"
"February 1, 2019",San Diego (1),California,0,4,4,A fight broke out at a house party and shots were fired; four people were wounded.[443]
"January 28, 2019",Houston (3),Texas,2,4,6,Pecan Park Raid: Four police officers were shot while serving a warrant in southeast Houston. The two homeowners were killed.[444]
"January 27, 2019",Birmingham (1),Alabama,0,5,5,"Police responded to a call and discovered five people with gunshot wounds, along with two of the victims sustaining life-threatening injuries.[445]"
"January 26, 2019",Newark (1),New Jersey,1,3,4,"A gunman opened fire on individuals attending a candlelight vigil, killing one, and wounding three others.[446]"
"January 26, 2019",Indianapolis (1),Indiana,0,5,5,"A man was asked to leave a bar; shortly after, he came back and shot five people, critically wounding two.[447]"
"January 26, 2019",Albany,Georgia,0,4,4,"Two people were found with bullet wounds in front of a residence, and two more arrived at a hospital with gunshot injuries from the same shooting.[448]"
"January 26, 2019",Ascension Parish and Livingston Parish,Louisiana,5,0,5,"January 2019 Louisiana shootings: A 21-year-old man killed five people, including his parents, in two parishes in Louisiana.[449] The suspect fled to Virginia and was arrested the next day.[450]"
"January 24, 2019",State College,Pennsylvania,4[n 1],1,5,"A man killed two people and injured one inside a local bar, then drove away and broke into a home and killed the homeowner before killing himself.[451]"
"January 24, 2019",Rockmart,Georgia,4,1,5,A man killed four individuals and injured another in two separate shootings.[452] The shooter was later arrested in Indiana.[453]
"January 23, 2019",Sebring,Florida,5,0,5,2019 Sebring shooting: At least five people were killed in a hostage incident and shooting at a bank. The suspect was taken into custody by police.[454]
"January 20, 2019",Miami (1),Florida,0,4,4,Three adults and a child were wounded in a shooting while attending a block party.[455]
"January 19, 2019",Gaffney,South Carolina,1,4,5,One person was killed and four others were wounded in a shooting at a nightclub.[456]
"January 19, 2019",Jacksonville (2),Florida,3[n 1],2,5,A man killed two people and injured two more before killing himself.[457]
"January 19, 2019",Lebanon,Pennsylvania,0,4,4,"In an apparent targeted shooting, four individuals were discovered shot in a building.[458]"
"January 19, 2019",Chicago (1),Illinois,0,4,4,"Early in the morning, three women and a man were involved in a fight and were injured in the ensuing shooting.[459]"
"January 19, 2019",Houston (2),Texas,3,2,5,Three people were killed and two more were injured by a homeowner in a possible attempted home invasion.[460]
"January 17, 2019",Owensboro,Kentucky,3,1,4,Three people were killed and another person was wounded in a shooting at a home. Two men were arrested in relation to the shooting.[461]
"January 16, 2019",Jacksonville (1),Florida,1,5,6,"A man was killed and five other people were injured in a shooting. The Mayor of Jacksonville described the shooting as gang-related, although this characterization has been disputed by the sister of the deceased man.[462]"
"January 16, 2019",Palmdale,California,3,1,4,Three people were killed and another one was wounded in a shooting.[463]
