Date,Community,State,Dead,Injured,Total,Description
"November 21, 2019",Everett,Washington,0,4,4,Four people were wounded in an apartment complex during a large gathering.[58]
"November 20, 2019",Richmond (2),California,0,4,4,Four people were wounded in a shooting.[59]
"November 18, 2019",Newark (3),New Jersey,1,3,4,One person was killed and three people were injured in two homes on one street.[60]
"November 17, 2019",Fresno (2),California,4,6,10,"2019 Fresno shooting: Ten people were shot, four fatally, at a football watch party.[61][62]"
"November 17, 2019",Cleveland (4),Ohio,0,4,4,Four people were wounded outside a home by a drive-by shooting.[63]
"November 16, 2019",San Diego (2),California,5[n 1],1,6,"A man killed his estranged wife and their three children, wounding a fourth child, before killing himself.[64]"
"November 14, 2019",Santa Clarita,California,3[n 1],3,6,"2019 Saugus High School shooting: A high school student shot five classmates, two fatally, before shooting himself; he died the next day in the hospital.[65]"
"November 11, 2019",Belle Glade,Florida,0,4,4,Four people were shot randomly along a road.[66]
"November 10, 2019",Kansas City (4),Missouri,0,4,4,Four people were wounded outside a night club after a disturbance escalated.[67]
"November 10, 2019",Memphis (4),Tennessee,1,4,5,A woman was killed and four others were wounded during an early morning shooting at a strip club.[68]
"November 10, 2019",Little Rock (2),Arkansas,0,4,4,"An adult male and three children, aged 12 through 13-years-old, were wounded by an unknown perpetrator while filming a rap music video.[69]"
"November 9, 2019",Vidalia,Georgia,0,4,4,"Two vehicles were shot at, wounding three adults and a 10-year-old child.[70]"
"November 9, 2019",Detroit (4),Michigan,0,4,4,Four men were wounded in a drive-by shooting in a parking lot.[71]
"November 7, 2019",Sumter (3),South Carolina,1[n 1],3,4,"Two suspects exchanged gunfire with people inside a house linked to illegal gambling and alcohol sales. One of the suspects was killed, and three other people were injured.[72]"
"November 7, 2019",Conyers,Georgia,2[n 1],3,5,An argument escalated and left one man injured and another dead. The shooter then engaged in a shootout with officers injuring two officers before being killed.[73]
"November 6, 2019",Eugene,Oregon,1[n 1],3,4,A man shot and wounded three neighbors after a dispute over them blowing leaves into his yard. He returned to his house and killed himself.[74]
"November 4, 2019",Houston (9),Texas,1,3,4,A man was killed and three other people were injured when a person opened fire at a group in a driveway.[75]
"November 3, 2019",Toledo (2),Ohio,0,4,4,Officers responding to a Shotspotter alert found four people wounded at a nightclub.[76]
"November 3, 2019",Nacogdoches,Texas,1,3,4,"A man shot at five men working on a barn, killing one and injured three others.[77]"
"November 2, 2019",Detroit (3),Michigan,1,4,5,One person was killed and five injured at an after hours party.[78]
"November 2, 2019",Baton Rouge (3),Louisiana,0,4,4,Four people were wounded in a shooting.[79]
"November 1, 2019",Tolleson,Arizona,0,5,5,Five teenagers were wounded at a Halloween party in a vacant home.[80]
"November 1, 2019",San Angelo,Texas,0,4,4,Four people were wounded in a drive-by shooting outside a night club.[81]
"October 31, 2019",Orinda,California,5,4,9,"Orinda shooting: At an overnight Halloween party attended by over 100 people, five people were killed, and four more wounded by gunfire.[82]"
"October 29, 2019",Long Beach (2),California,3,9,12,Three men were killed and nine injured at a Halloween party at a residential home.[83]
"October 28, 2019",Baltimore (15),Maryland,1,3,4,A man was killed and two adults and a 17-year-old were injured in front of a store.[84]
