Date,Community,State,Dead,Injured,Total,Description
November 3,Henderson (1),Nevada,4[n 1],1,5,Henderson shooting: A man shot and killed three people at an apartment complex before being shot dead by police. A fifth person was taken to a hospital with gunshot wounds but the condition of the person was not yet known.[89]
November 1,Atlantic City,New Jersey,1,3,4,A man was killed and three wounded near a local bar that was hosting a Halloween party in the early morning.[90]
November 1,Hollywood,South Carolina,0,6,6,Six people were wounded in an early morning shooting at a party in an abandoned house.[91]
November 1,Winston-Salem,North Carolina,1,3,4,A man was killed and three others wounded shortly after midnight. A suspect was arrested shortly after.[92]
November 1,Evansville,Indiana,0,4,4,Four people were wounded outside of a bar after an early morning argument escalated in a large crowd. The bar was the scene of a similar shooting in February 2019.[93]
November 1,Oklahoma City (2),Oklahoma,1,3,4,A man was killed and three others injured after someone fired into an event center.[94]
November 1,Rochester (5),New York,2,2,4,"Two men were killed and two wounded outside an apartment building that was hosting a Halloween party, in the early morning.[95]"
November 1,Tucson,Arizona,2,2,4,Two men were killed and two wounded in the desert near Tucson International Airport in the early morning.[96]
October 31,Sacramento (5),California,0,4,4,Four people were wounded in a drive-by shooting in the Natomas area. Those wounded had gathered at a home there.[97]
October 31,Sumner,Washington,0,5,5,"Five people were wounded after an argument escalated outside of a house party, shortly after midnight.[98]"
October 31,Anaheim,California,0,4,4,Four people were wounded in an early morning shooting at a strip club. The shooter pulled up outside the club and opened fire.[99]
October 31,College Park,Maryland,0,7,7,Seven people were wounded at a party held in a hotel room at the University of Maryland.[100]
October 31,Las Vegas (2),Nevada,0,4,4,"Four people were shot in a neighborhood, at a believed house party after a dispute escalated. The wounded are believed to be teenagers.[101]"
October 30,Waldorf,Maryland,1,3,4,Two groups of men got into a dispute inside a cigar and hookah lounge and the argument escalated. One man was killed and three injured.[102]
October 30,Chicago (48),Illinois,1,3,4,A man was killed and two adults and a sixteen-year-old were injured after a man entered a home in Morgan Park and opened fire. Police believe the shooting was drug related.[103]
October 29,Winter Garden,Florida,0,4,4,"A patrol officer discovered four people wounded after an argument escalated late at night. One of the victims has a concealed weapons permit, but officers are unsure who actually fired.[104]"
October 28,Newark (3),New Jersey,1,3,4,One individual was killed and three others wounded after a heated argument escalated.[105]
October 28,Roanoke,Virginia,0,4,4,Officers responded to a report of multiple shots fired and found four individuals wounded in a home.[106]
October 26,Bessemer,Alabama,1,3,4,An eighteen-year-old was killed and three other teens were wounded in a house during the evening.[107]
October 25,Fort Worth (2),Texas,2,3,5,A fight broke out at an early morning house party and escalated. Two men were killed and three others wounded.[108]
October 25,San Antonio (7),Texas,0,4,4,A dispute potentially near I-35 escalated and four people within a car were shot. The car crashed a short time later. Three adults and a thirteen-year-old were wounded and three additional children were not injured.[109]
October 25,Raleigh (2),North Carolina,1,3,4,Four men were shot in the early morning. Two men were later arrested for the shooting and a wounded man died later at the hospital.[110]
October 24,Greenwood,Mississippi,2,8,10,A gunman walked into a family's front yard and opened fire on a family gathering shortly before midnight. The family had gathered for a funeral and two were killed and eight wounded.[111]
October 22,Miami (3),Florida,1,3,4,Shortly before midnight someone opened fire in a Miami neighborhood. A man was killed and two adults and an infant girl were wounded.[112]
October 22,Boston (3),Massachusetts,0,4,4,Officers responded to a gunfire locator alert and multiple 911 calls and found two individuals wounded. An additional two transported themselves to the hospital.[113]
October 22,Baltimore (10),Maryland,0,4,4,Three men and a woman were wounded in a shooting shortly after midnight.[114]
October 22,Rayne,Louisiana,0,5,5,A vehicle with six passengers – two adults and four juveniles –  was traveling on I-10 when a car next to them opened fire. Five people in the car were wounded.[115]
October 21,New York City (21),New York,1,5,6,A man was killed and five other people were wounded in a drive-by shooting in Prospect Lefferts Gardens in Brooklyn.[116]
October 21,Canton,Mississippi,1,3,4,A gunman ambushed four people waiting in a car at a McDonald's drive through. One person in the car was killed and two adults and a thirteen-year-old were injured.[117]
October 20,Houston (11),Texas,3,1,4,An argument at a local open-mike night for rappers at a club escalated when at least two people opened fire. Three men were killed and one injured.[118]
October 19,Mansfield,Ohio,0,5,5,Five people were wounded in a drive-by-shooting while standing outside a house during a party. A seventeen-year-old and four adults were among the injured.[119]
October 19,New Orleans (7),Louisiana,1,3,4,A man was killed and three others wounded after gunfire erupted in front of a convenience store.[120]
October 18,Annapolis,Maryland,1,3,4,An argument at an early morning house party escalated and one man was killed. Another adult and two seventeen-year-old girls were wounded.[121]
October 18,Chicago (47),Illinois,1,4,5,A gunman walked into an East Garfield Park home and opened fire. He killed one man and wounded four others.[122]
October 18,Nashville (3),Tennessee,0,4,4,"Two men were discovered wounded at a home near Belmont University, and two others arrived at local hospitals later.[123]"
October 17,Lockport,New York,1,5,6,Shortly after midnight two men approached a home hosting a Halloween themed house party opened fire on the closed garage door. A 21-year-old college student was killed and five others were wounded.[124]
October 17,Rock Hill (1),South Carolina,0,5,5,"A patrol officer heard gunfire near a local lounge in the early morning, and found a wounded man. Four others were transported by private vehicles to local hospitals.[125]"
October 16,San Jose (3),California,2,4,6,Shortly before midnight two men were killed and four injured at a local restaurant.[126]
October 16,Orlando (3),Florida,3,1,4,Three people were killed and one wounded after an argument occurred in the early morning at a private motorcycle club over a motorcycle. The wounded victim is refusing to cooperate with police.[127]
October 16,Mesa,Arizona,1,6,7,Six people were injured in a drive-by shooting and one was killed. Three of the injured were children and three were adults. The victim killed was one year old.[128]
October 16,San Francisco (2),California,1,3,4,A man was killed and another and two women were injured in an evening shooting.[129]
October 15,Baltimore (9),Maryland,0,7,7,Seven people were wounded in an evening shooting in Southwest Baltimore. Two people were discovered at the scene and five were later discovered at area hospitals.[130]
October 15,Lafayette (3),Louisiana,2,2,4,A party after a University of Louisiana football game in Moore Park led to an early morning shooting after an argument escalated. Two people were wounded and two killed.[131]
October 14,Philadelphia (26),Pennsylvania,0,4,4,Four men were injured at a gas station in an evening shooting in Southwest Philadelphia.[132]
October 12,Myrtle Beach (2),South Carolina,2,3,5,A man was killed and four others were injured at a local grocery store early in the morning. One of the injured died three days later.[133]
October 11,Atlanta (9),Georgia,0,4,4,Four people were wounded in an evening shooting at a downtown hotel. Additional guns and pills were discovered at the scene of the shooting.[134]
October 10,Chicago (46),Illinois,1,3,4,Four people were inside a vehicle when they were hit by gunfire near the West Garfield Park on the West Side. A man died and two adults and a seventeen-year-old girl were wounded.[135]
October 10,Kingstree,South Carolina,0,8,8,A man opened fire after he was ejected from a nightclub by firing into the club while standing in the road. Three people were discovered in the club and five were taken to the hospital in private vehicles.[136]
October 10,Jennings,Missouri,2,2,4,A woman and her six-year-old daughter were killed and her other daughters aged sixteen and ten-years-old were wounded. The woman's boyfriend was arrested as a person of interest.[137]
October 8,Philadelphia (25),Pennsylvania,1,6,7,At least two gunmen opened fire on a group of people in the city's Frankford neighborhood. One man was killed and six others wounded.[138]
October 7,Anchorage (2),Alaska,1,4,5,A man was killed and one man and three women were injured in an early morning shooting at a house party. Two teenagers were arrested and charged for the shooting.[139]
October 7,New York City (20),New York,1,3,4,One man was killed and three injured in an evening shooting at a Brooklyn building. Neighbors claim that the building was a local gambling den.[140]
October 5,"Washington, D.C. (8)","Washington, D.C.",0,4,4,"Two men and two women were shot in an evening shooting, with one victim in critical condition.[141]"
October 4,Indianapolis (4),Indiana,3,4,7,Police responding to reports of an early morning shooting found three men dead outside an establishment. Four additional wounded were identified at the hospital after transporting themselves.[142]
October 4,Atlanta (8),Georgia,1,5,6,"A fight broke out between two women inside a store and shortly after three men arrived with guns and entered the store. The men opened fire, and customers returned fire, with one man killed and three adults and two juveniles injured.[143]"
October 3,Sacramento (4),California,1,3,4,A nine-year-old girl was killed and two adults and a six-year-old girl were wounded at a Del Paso Heights park. They were part of a family gathering when a gunman drove up and opened fire.[144]
October 3,Clarksville,Tennessee,0,5,5,At least five people were wounded in an early morning shooting at a house party. An argument had broken out and escalated into gun fire.[145]
October 2,Seattle (2),Washington,0,4,4,A seventeen-year-old girl and three others were wounded in an evening shooting in Rainier Valley.[146]
October 2,New Orleans (6),Louisiana,0,4,4,Four people were wounded in a shooting in the Central Business District. Victims ran away from the original scene causing officers to believe there were more shootings than actual.[147]
October 1,Detroit (9),Michigan,0,5,5,Two women and three men were wounded in a shooting shortly before midnight in a rental hall.[148]
September 30,Greensboro (3),North Carolina,0,4,4,Four North Carolina A&T State University students were wounded in an off-campus apartment complex.[149]
September 30,Milwaukee (7),Wisconsin,0,7,7,Seven people were shot at a funeral home.[150]
September 30,Jacksonville (3),Florida,0,4,4,Two men and two women were wounded inside an apartment with no signs of a break-in.[151]
September 29,Philadelphia (24),Pennsylvania,0,5,5,Five men were wounded shortly before midnight while standing on a porch in the Logan section of the city.[152]
September 29,Plainsville,Ohio,2,2,4,Two men were killed and two wounded in an afternoon shooting. The men were recording a music video and got into an argument with another group which escalated.[153]
September 28,Detroit (8),Michigan,0,6,6,Four men and two women were injured in an early morning shooting after a large crowd had congregated outside a Gentleman's club in the city's southwest side.[154]
September 27,Nashville (2),Tennessee,0,4,4,"Four people were wounded near an intersection in the afternoon after an argument escalated. The gunman walked away to his vehicle, retrieved a pistol, opened fire, and drove away.[155]"
September 27,Sandusky,Ohio,0,4,4,"A man shot and wounded four people shortly before midnight, with one victim discovered in a vehicle by police.[156]"
September 27,San Bernardino (1),California,1,3,4,A nineteen-year-old was killed and three others injured in an evening shooting.[157]
September 26,Philadelphia (23),Pennsylvania,0,4,4,"Two teens, aged fifteen and sixteen-years-old and two adults were wounded just before midnight at a block party in West Philadelphia. The teens and one adult had been leaving the party when the gunman opened fire.[158]"
September 26,Enterprise,Alabama,1,3,4,One man died and three others injured after someone opened fire on an early morning party in an apartment complex parking lot.[159]
September 26,Waterloo,Iowa,2,6,8,Two people were killed and six injured in a shooting at a motorcycle club where over 100 people had gathered. Four others suffered injuries from broken glass and debris while fleeing from the gunfire.[160]
September 26,Chicago (45),Illinois,0,4,4,Two men and two women were injured in an early morning drive-by shooting in Marquette Park on the Southwest Side.[161]
September 25,Philadelphia (22),Pennsylvania,0,4,4,Four teenagers aged between seventeen and nineteen-years-old were injured in a late night shooting in the Frankford section of the city.[162]
September 23,Hampton,Georgia,1,3,4,A woman was killed and her mother and young child were injured when a man entered the home and shot. He shot and injured an additional woman while carjacking her in an attempt to flee.[163]
September 23,Minneapolis (6),Minnesota,0,5,5,Three men and two women were injured outside a bar early in the morning after an argument escalated. The bar was the scene of another mass shooting in June were a man died and six were injured.[164]
September 21,Struthers,Ohio,1,4,5,"A man barged into a home in the early morning and opened fire, wounding four adults and killing a four-year-old child. The child reportedly was held by his mother when the man opened fire and was struck and killed in her arms.[165]"
September 20,New York City (19),New York,0,4,4,Two women were discovered wounded in front of a house in Queens by police. Two men arrived at the hospital by private vehicles at a later time.[166]
September 20,Stamford,Connecticut,1,3,4,A woman was killed and three others injured in a housing complex parking lot shortly after midnight. A large crowd had gathered and someone opened fire.[167]
September 19,Buffalo (3),New York,1,4,5,A woman was killed and four other people were injured in an early morning shooting at a street party.[168]
September 19,Rochester (4),New York,2,14,16,Rochester shooting: Two people were killed and 14 others were injured in Rochester at a backyard party on Pennsylvania Avenue.[169]
September 19,Chicago (44),Illinois,0,4,4,"Four people were wounded in West Pullman less than an hour after the shooting in West Englewood. Two sedans pulled up to a group outside and opened fire towards people on the sidewalk, home porch and inside the home.[170]"
September 19,Chicago (43),Illinois,0,4,4,Four men were wounded in West Englewood while standing outside when someone opened fire.[171]
September 19,Plainfield,New Jersey,0,4,4,Police officers responded to a shooting after a ShotShopper alert and found four people wounded.[172]
September 19,West Memphis,Arkansas,0,5,5,Five people were shot in an evening shooting.[173]
September 18,Little Rock (3),Arkansas,0,4,4,"Four people were wounded in a drive-by afternoon shooting, near I-630.[174]"
September 16,Philadelphia (21),Pennsylvania,2,3,5,"Two men were killed and three wounded while playing basketball at the Roberto Clemente Playground in Spring Garden. Police believe the men were targeted as the three shooters chased them down, after the first confrontation.[175]"
September 15,San Jose (2),California,2,3,5,Two people were killed and three others injured in a quintuple shooting near San Jose State University.[176]
September 15,Chicago (42),Illinois,0,5,5,"Five people, including three teenagers, were wounded in a drive by shooting. The group were outside celebrating Mexican Independence.[177]"
September 14,Baker,Louisiana,0,4,4,"Three people were wounded in a vehicle and a fourth while walking down the street, after a drug deal turned into a robbery. One of the wounded was an eight-year-old girl.[citation needed]"
September 14,New Brunswick,New Jersey,2,6,8,Two people died and six others were injured in an overnight shooting near Rutgers University.[178]
September 13,Grand Rapids,Michigan,0,7,7,Seven people were wounded in a late night shooting outside a business in the city's southeast side. One victim's injuries were considered life-threatening.[179]
September 13,Manchester,Tennessee,3[n 1],3,6,"A man opened fire inside a vehicle on I-24 and killed one person in his vehicle and wounded another. He attempted to carjack three vehicles and wounded two people, before taking two hostages. At the end of the hostage taking a hostage and the gunman were dead and the other hostage released.[180]"
September 13,Tampa (2),Florida,0,4,4,A security guard and three club goers were wounded after an individual opened fire from a car shortly after midnight.[181]
September 13,Chicago (41),Illinois,1,3,4,"A man was killed and two adults and a seventeen-year-old boy were wounded while sitting on a homes porch in Englewood, after two men exited a vehicle and opened fire.[182]"
September 12,Chicago (40),Illinois,2,4[n 1],6,A man opened fire at an early morning house party after an argument escalated in the Austin neighborhood. Another individual returned fire causing the first shooter and three others to be wounded and two others killed.[183]
September 12,Wilson,North Carolina,0,5,5,Four adults and a teenager were wounded after a verbal altercation at a house party escalated.[184]
September 11,Donaldson,Louisiana,0,5,5,"Five people were wounded at a large party, with one aged sixteen-years-old.[185]"
September 10,New Orleans (5),Louisiana,3,1,4,"Four minutes after a shooting, police were alerted to a second in which three men died, and one wounded.[186]"
September 9,St. Louis (10),Missouri,1,3,4,A man was killed and three others wounded in the Wellston neighborhood.[187]
September 8,Baltimore (8),Maryland,0,5,5,Five people including a seventeen-year-old were injured while playing a dice game when a vehicle pulled up and opened fire.[188]
September 7,New Orleans (4),Louisiana,0,4,4,Four people including a fourteen-year-old boy were injured in Central City.[189]
September 7,New York City (18),New York,0,5,5,"A fifteen-year-old shooter opened fire at a group of people in a drive-by shooting, including a six-year-old in Brooklyn. Police believe the shooting to be gang related.[190]"
September 7,Indianapolis (3),Indiana,1,4,5,An eighteen-year-old was killed and four others injured after a fight broke out during a party in the Butler-Tarkington neighborhood over a broken table.[191]
September 7,Aguanga,California,7,0,7,A shooting at a large marijuana grow house left seven people dead.[192]
September 7,Chicago (39),Illinois,1,3,4,An eight-year-old girl was killed and three others injured when another vehicle opened fire on them while they were sitting in another car in the Canaryville neighborhood.[193]
September 6,Chicago (38),Illinois,0,4,4,Four people were wounded in the South Shore neighborhood in a drive-by shooting. Three adults and a seventeen-year-old were injured.[194]
September 6,Commerce City (2),Colorado,0,4,4,Four people were wounded at a large house party after a fight broke out in the early morning.[195]
September 6,Memphis (7),Tennessee,0,4,4,Two people opened fire in an apartment and wounded three adults and a five-year-old child.[196]
September 6,Baltimore (7),Maryland,0,4,4,Responding officers found a wounded man and three other wounded individuals transported themselves to the hospital.[197]
September 6,Kansas City (4),Missouri,0,6,6,Six people were wounded in Swope Park where a large crowd had gathered to watch cars do burnouts and donuts.[198]
September 6,St. Louis (9),Missouri,1,3,4,One woman was killed and three others injured in the Hamilton Heights neighborhood.[199]
September 6,Sparta,Georgia,1,6,7,Responding officers found a man dead and two wounded at an early morning birthday party. Four other wounded were identified at the hospital.[200]
September 6,New Iberia,Louisiana,0,5,5,"Five people were wounded at a night club, and separate charges were filed against the club owner for operating during COVID-19 restrictions.[201]"
September 5,Houston (10),Texas,0,4,4,"A woman and three men were wounded after a party with multiple motorcycle clubs, had a large fight in the parking lot with multiple shooters.[202]"
September 5,Little Rock (2),Arkansas,0,4,4,"A man was found wounded at the River Market district, with witnesses stating the shooter opened fire after pulling a gun from his fanny pack. Three children aged, seventeen, sixteen and twelve-years-old were also wounded.[203]"
September 5,Baltimore (6),Maryland,1,3,4,"Two men were discovered wounded by responding officers, one of whom later died at the hospital. Two more wounded were identified after transporting themselves to the hospital.[204]"
September 5,Williston,Florida,0,6,6,"Six people were wounded in an early morning shooting at a block party/protest that was organized by a man to protest ""inequitable narratives.""[205]"
September 3,Miami (2),Florida,0,4,4,Four men were wounded in a drive-by shooting shortly before midnight.[206]
September 3,Philadelphia (20),Pennsylvania,0,6,6,Five men aged eighteen to twenty-six-years-old were found wounded in an east Germantown street shortly before midnight. A sixth man was found wounded in his apartment building from a stray bullet a half-block away.[207]
September 3,Little Rock (1),Arkansas,0,4,4,"Two bystanders including a seventeen-year-old were wounded shortly before midnight at an apartment complex. Two additional wounded were discovered later by police, who stated the shooting occurred after the individuals they had met to purchase guns from, turned on them and opened fire.[208]"
September 3,Hensley,Arkansas,1,3,4,"A nineteen-year-old was killed and two nineteen-year-old and an eighteen-year-old were injured, when a car pulled up alongside their vehicle and opened fire on I-530.[209]"
September 2,Philadelphia (19),Pennsylvania,2,2,4,Two seventeen-year-olds were killed and a seventeen and eighteen year old wounded in a shooting in Point Breeze.[210]
September 2,Albany (Ga) (2),Georgia,1,3,4,One man was killed and two other adults and a sixteen-year-old were wounded while playing cards in an early morning drive-by shooting.[211]
September 2,Oakland (3),California,0,4,4,"Three teenagers, two fifteen-year-olds and a seventeen-year-old, and an adult were wounded in the Brookfield Village neighborhood in East Oakland. Police believe it to be a targeted shooting.[212]"
August 31,Tallahassee,Florida,0,4,4,"Police responding to a call of several people shot, found two adults and two teenagers aged thirteen and seventeen-years-old wounded in a townhouse complex.[213]"
August 30,San Antonio (6),Texas,2,2,4,"A nineteen and seventeen-year-old were killed and two other teenagers were wounded, when a vehicle pulled up to the car that they were in and opened fire. Officers believe at least one person in the vehicle was the intended target.[214]"
August 30,Lexington (2),Kentucky,0,7,7,Seven people were wounded at a community gathering at a local community center. Eyewitnesses were split on how the shooting occurred.[215]
August 30,Buffalo (2),New York,1,4,5,"Five people were wounded in an early morning shooting, with one later dying at a hospital.[216]"
August 30,Chicago (37),Illinois,1,4,5,"Five people were shot, one fatally, at a restaurant in Morgan Park.[217]"
August 30,Madisonville,Kentucky,0,5,5,Four adults and a fourteen-year-old girl were injured at a block party when an unknown individual opened fire early in the morning.[218]
August 30,Zion,Illinois,0,4,4,A drive by shooting injured three adults standing outside early in the morning. An eight-year-old boy was injured when a bullet entered his bedroom through a wall.[219]
August 29,Las Vegas (1),Nevada,2,2,4,"Shortly before midnight a group was walking down an alley toward a store, when they were approached by three men. One opened fire and killed two of the group and injured two others.[220]"
August 29,Rock Island (2),Illinois,1,5,6,A man was killed and five others injured in an early morning shooting near a local pub.[221]
August 28,Dallas (3),Texas,0,5,5,Four adults and a fifteen-year-old boy were wounded in a late night shooting in the Deep Ellum district.[222]
