Date,Community,State,Dead,Injured,Total,Description
December 31,Indianapolis (5),Indiana,1,3,4,A shooting unfolded outside a nightclub on New Year's Eve that killed a man and sent three others to the hospital.[14]
December 31,Happy Valley,Oregon,0,4,4,Four people were wounded after a shooting at a party. All four are expected to survive.[15]
December 27,Smith Bay,United States Virgin Islands,1,3,4,Four men were wounded after a shooting near a restaurant.[16] One of the wounded later died from his injuries.[17]
December 26,Lynn (2),Massachusetts,1,5,6,Six people were wounded in an evening shooting. One of the victims later died at the hospital.[18]
December 26,Rockford (5),Illinois,3,3,6,Don Carter Lanes shooting: Three people are killed and three others injured in a shooting at a bowling alley. The shooter is believed to have selected his victims at random. A person of interest has been taken into custody by authorities.[19]
December 26,Tampa (5),Florida,2,2,4,Two men were killed and two injured in an early morning targeted shooting in Ybor City.[20]
December 26,Miami (5),Florida,1,3,4,Three adults and a juvenile were wounded in an afternoon drive-by shooting. One of the wounded later died at the hospital.[21]
December 25,Boynton Beach (2),Florida,1,4,5,Four people were injured and one was killed after a shooting on Christmas Day.[22]
December 25,Atkins,Arkansas,5[n 1],0,5,A woman shot her mother and three young daughters in a murder-suicide.[23][24]
December 24,Lakeland,Florida,1,4,5,"After a teenager got into a conflict with another group, four people were injured and one was killed after a shooting at the teenager's home.[25]"
December 22,Meridian,Mississippi,5[n 1],0,5,Four individuals were discovered killed in three separate homes after wellness checks were called for them. The perpetrator died of a self inflicted gunshot wound.[26]
December 20,Mayfield,Kentucky,4[n 1],0,4,A man killed his wife and two sons before turning the gun on himself.[27][28]
December 20,Bridgeport (3),Connecticut,2,2,4,Two men were killed at a sports bar in an apparent targeted shooting. Two innocent bystanders were wounded.[29]
December 19,Chicago (53),Illinois,0,6,6,"Six people were wounded after someone walked into and opened fire inside a South Side beauty salon in the Burnside neighborhood, shortly after midnight. The salon was hosting an after hours party.[30]"
December 18,Philadelphia (27),Pennsylvania,0,4,4,Three men and a woman were shot in the Kingsessing neighborhood.  Cocaine and firearms were recovered on the scene.[31]
December 14,St. Louis (11),Missouri,0,4,4,Following a dispute outside of a restaurant four were people shot.[32]
December 13,Elkview,West Virginia,4,0,4,"A family member discovered two parents and two children, aged 12 and 13-years-old, killed in their home. The killer was reportedly a third teenaged child of the family.[33] The shooter was sentenced to life in prison in 2023.[34]"
December 12,San Bernardino (2),California,1,3,4,A man was killed and three others wounded in an early morning shooting.[35]
December 12,Copiague,New York,1,3,4,A man was killed and three others were wounded inside a deli.[36]
December 12,New York City (23),New York,0,4,4,Four men were wounded in an afternoon shooting in the Boerum Hill neighborhood of Brooklyn.[37]
December 12,Landover,Maryland,1,3,4,A man was killed and three others wounded at a large early morning gathering.[38]
December 10,Tifton,Georgia,0,4,4,Four people were wounded near the Charles Spencer Elementary School during school hours. No students were harmed or in danger.[39]
December 10,Jackson (Ms) (6),Mississippi,0,5,5,Five men were wounded in a late night shooting. They were playing dice outside an apartment complex when a man drove up and started shooting. The man chased them through the complex before fleeing.[40]
December 10,Metairie,Louisiana,2,2,4,Two people were killed and two wounded in a parking lot after an SUV pulled into it.[41]
December 8,Williamsburg,West Virginia,6[n 1],0,6,"2020 Williamsburg massacre: 25-year-old Oreanna Myers shot and killed five children, aged between one and seven, with a shotgun before setting her house on fire and committing suicide.[42]"
December 8,Lacombe,Louisiana,2,3,5,A group of four men attempted to rob a home at gun point. The home owner opened fire in defense and killed two of the robbers and wounded the other two. The homeowner's four-year-old child was also wounded.[43]
December 6,Venus,Texas,0,6,6,"Six people were wounded at a rodeo outdoor live music venue, with one to two thousand attendees present. Police had been called to the venue three times prior to the shooting, due to fights.[44]"
December 5,Hayward,California,1,3,4,Officers responding to reports of a shooting shortly after midnight found a woman dead and three other individuals injured.[45]
December 5,Autryville,North Carolina,0,6,6,Shortly before midnight an argument between two men at a bonfire escalated. Six people were wounded.[46]
December 4,Chicago (52),Illinois,0,4,4,Three men and a seventeen-year-old girl were injured after someone shot at them from across the street. The group was standing outside a home in West Garfield Park.[47]
December 1,Falls Township,Pennsylvania,1,3,4,An eighteen-year-old was killed and three other teenagers were injured after a dispute between two groups escalated.[48]
November 30,Palmer,Alaska,4,0,4,"A man was killed, and shortly later a woman and two children; aged 10 and 7-years-old were killed at a home. An additional child was found uninjured in the home.[49]"
November 29,Grenada,Mississippi,0,11,11,Eleven people were shot at a motorcycle club. The injured were treated at nearby hospitals and no arrests have been made.[50]
November 29,Memphis (8),Tennessee,2,2,4,Two people were killed and two wounded in an apartment complex near Memphis International Airport.[51]
November 28,New Orleans (9),Louisiana,0,4,4,"Four people were shot in the evening, in New Orleans East.[52]"
November 28,Aiken,South Carolina,1,14,15,A man was killed and fourteen other people were injured shortly after midnight at a nightclub. At least three men fled in a vehicle and continued to fire from the vehicle.[53]
November 27,Macon (2),Georgia,1,5,6,A woman was killed and five people wounded by gunfire and two stabbed outside a nightclub after an early morning argument.[54]
November 27,Toledo (4),Ohio,0,6,6,Five people were wounded while leaving a club in the early morning. A sixth person was wounded by a stray bullet while at home.[55]
November 26,Henderson (2),Nevada,1,4,5,"One person was killed and four injured in a shooting outside a 7-Eleven store. The possible suspects were arrested on other charges in nearby Parker, Arizona.[56]"
November 22,Trenton,New Jersey,0,4,4,Four people were wounded in an evening shooting in the Stuyvesant area.[57]
November 22,New York City (22),New York,1,6,7,A woman was killed and six others were injured at a party in the Bedford–Stuyvesant neighborhood of Brooklyn.[58]
November 21,Chicago (51),Illinois,0,6,6,Six people were wounded in an early morning shooting in Gresham on the South Side after a man opened fire on them from the sidewalk.[59]
November 21,Phoenix (2),Arizona,1,4,5,A woman was killed and three adults and a teenager were wounded at an illegal warehouse party.[60]
November 21,Bellevue,Nebraska,2,2,4,Two people were killed and two others wounded at a Sonic Drive-In after police responded to a call of a bomb inside a truck. A suspect has been arrested.[61]
November 20,Elberta,Michigan,3,1,4,"A family of four, a husband and wife and their two adult sons, were shot in their home. The husband is in critical condition at a local hospital. A recently discharged gun was found at the scene and police do not believe there is a suspect at large.[62]"
November 20,Wauwatosa,Wisconsin,0,8,8,"Mayfair Mall shooting: Eight people were hospitalized with non-life-threatening injuries after a person opened fire at the Mayfair Mall. Several people, including a 15-year-old boy from Milwaukee, have been arrested in the case.[63][64]"
November 19,Haines City,Florida,1,3,4,One person was killed and three injured in a drive-by shooting while standing under a carport.[65]
November 18,Houston (12),Texas,3[n 1],2,5,A man shot and killed his uncle and cousin and wounded his wife and aunt before committing suicide. His uninjured infant daughter was also in the home.[66]
November 18,Florence,South Carolina,0,4,4,Four people were wounded in an evening shooting.[67]
November 17,Jackson (Tn) (2),Tennessee,0,4,4,Four people were wounded at a home that had been the site of a break in back in January 2020.[68]
November 16,Miami (4),Florida,0,4,4,Two adults and two children under the age of seven were wounded in a drive-by shooting. They were standing outside a home in Golden Glades.[69]
November 16,Chicago (50),Illinois,0,4,4,Four people were wounded in a drive-by shooting while walking down a road on the West Side. Two of the wounded were teenage girls.[70]
November 16,Chicago (49),Illinois,0,4,4,Four people were wounded at the Dearborn homes after another group began an argument which escalated.[71]
November 15,Shreveport (3),Louisiana,0,5,5,Five people were shot shortly after midnight while attending a street gathering.[72]
November 15,Riverdale,Georgia,2,2,4,Two men were killed and two injured at a trailer park in a late night shooting.[73]
November 14,Sumter,South Carolina,3,1[n 2],4,"Shortly before midnight, three people were killed and a pregnant woman wounded in a home.[74]"
November 14,Fulton,Missouri,0,4,4,Four people were wounded in a late night shooting at an event center. The center had been rented out for a birthday party prior to the shooting.[75]
November 14,Cincinnati (3),Ohio,0,4,4,"Four teenagers, aged between twelve and fifteen, were wounded in an evening drive by shooting in the Winton Hills area.[76]"
November 14,Riverside,California,2,3,5,Officers responding to an assault with a deadly weapon call found two men who later died at a hospital. Three additional wounded individuals were identified at a hospital.[77]
November 12,Tampa (4),Florida,2,4,6,Officers responding to reports of multiple gunshots found two men dead and four wounded in an evening shooting.[78]
November 12,Gastonia (2),North Carolina,0,6,6,"Six people were shot, including two police officers, when an argument inside a nightclub escalated.[79]"
November 10,Tampa (3),Florida,1,7,8,A man was killed and seven other men and teenagers were wounded in a drive-by shooting. A car opened fire on a group gathered at a basketball court next to a Boys & Girls Club.[80]
November 9,Fort Worth (3),Texas,0,4,4,Two adults and two children were wounded in an afternoon shooting at a local food mart. Police are investigating it as possible gang activity.[81]
November 8,Virginia Beach,Virginia,0,4,4,Two adults and two children under the age of twelve were wounded in a gated apartment complex.[82]
November 8,Nashville (4),Tennessee,0,8,8,Eight people and a dog were injured in a shooting on Commerce Street in the early hours of the morning.[83]
November 7,Ogden,Kansas,0,4,4,Four men were wounded outside a local bar shortly before midnight.[84]
November 7,Rock Hill (2),South Carolina,1,3,4,One individual was killed and three injured inside a local bar shortly after midnight.[85]
November 6,New Orleans (8),Louisiana,2,2,4,Two people were wounded and two killed in the Hollygrove section of the city. One of those killed may have been the target of the shooting.[86]
November 5,Toledo (3),Ohio,3,1,4,Three people were killed and one injured near an apartment complex. The shooting is believed to be connected to a hit and run accident just down the road.[87]
November 4,Jefferson City,Missouri,0,4,4,Four people were wounded in a shooting in a parking lot at a local sporting complex and gym located near the Jefferson City High School.[88]
